CMD_ID,CAN_NAME,TYPE,VIS,HANDLER,ACTIVE
CMD_TABLE_BUFFER,TABLE_BUFFER,command,public,cmd_TABLE_BUFFER,T
CMD_TEST,TEST,command,public,cmd_TEST,T
CMD_TEXT,TEXT,command,public,cmd_TEXT,T
CMD_TOP,TOP,command,public,cmd_TOP,T
CMD_TUPEXPORT,TUPEXPORT,command,public,cmd_TUPEXPORT,T
CMD_TUPLE,TUPLE,command,public,cmd_TUPLE,T
CMD_TUPLEDELTA,TUPLEDELTA,command,public,cmd_TUPLEDELTA,T
CMD_TUPTALK,TUPTALK,command,public,cmd_TUPTALK,T
CMD_TUPVALIDATE,TUPVALIDATE,command,public,cmd_TUPVALIDATE,T
CMD_TURBOPACK,TURBOPACK,command,public,cmd_TURBOPACK,T
CMD_TVISION,TVISION,command,public,cmd_TVISION,T
CMD_UNDEFCMD,UNDEFCMD,command,public,cmd_UNDEFCMD,T
CMD_UNDEFFN,UNDEFFN,command,public,cmd_UNDEFFN,T
CMD_UNDELETE,UNDELETE,command,public,cmd_RECALL,T
CMD_UNLOCK,UNLOCK,command,public,cmd_UNLOCK,T
CMD_UNTIL,UNTIL,command,public,cmd_UNTIL,T
CMD_UNTIL_BUFFER,UNTIL_BUFFER,command,public,cmd_UNTIL_BUFFER,T
CMD_UPDATE,UPDATE,command,public,cmd_SQL_UPDATE,T
CMD_USER,USER,command,public,cmd_USER,T
CMD_VALIDATE,VALIDATE,command,public,cmd_VALIDATE,T
CMD_VAR,VAR,command,public,cmd_VAR,T
CMD_VDISK,VDISK,command,public,cmd_VDISK,T
CMD_VERSION,VERSION,command,public,cmd_VERSION,T
CMD_WA,WA,command,public,cmd_WAMREPORT,T
CMD_WEB,WEB,command,public,cmd_WEB,T
CMD_WHERE,WHERE,command,public,cmd_WHERE,T
CMD_WHERECACHE,WHERECACHE,command,public,TODO,T
CMD_WHILE_BUFFER,WHILE_BUFFER,command,public,cmd_WHILE_BUFFER,T
CMD_WORKSPACE,WORKSPACE,command,public,cmd_WORKSPACE,T
CMD_WSREPORT,WSREPORT,command,public,cmd_WSREPORT,T
CMD_ZIP,ZIP,command,public,cmd_ZIP,T
